STPV1135,160kVA 11kV 415V Exhibit Transformer
STCB0588,160kVA 11kV 415V Indoor Transformer STD PH2
STPV1102,160kVA 11kV 415V Outdoor Transformer STD EU
STCB0581,160kVA 11kV 415V Outdoor Transformer STD PH2
STPV0401,160kVA 33kV 400V  3Ø Auxiliary Transformer with HV and LV cable boxes & ISD Unit
STPV0436,160kVA 33kV 400V Auxilary Transformer with LV cable box plugin type bushings and elbow connectors
STPV0026,160kVA 33kV 400V Auxiliary Transformer with LV Cable Box
STPV0385,160kVA 33kV 400V Auxiliary Transformer with LV cable box and plug in type bushings on MV end
STPV0575,160kVA 33kV 415V ONAN Dyn11 Outdoor Transformer
STRD0508,160kVA 33kV 415V Outdoor Transformer Multi Step Oval R&D Ph1
STRD0532,160kVA 33kV 415V Outdoor Transformer Multi Step Oval R&D Ph2
STPV1066,160kVA 33kV 415V Outdoor Transformer STD EU
STPV0464,1750kVA 33kV 400V 3Ø 50Hz ONAN Outdoor Transformer for Solar Project
STPV0224,1750kVA 33kV 400V ONAN Outdoor Transformer with ISD
SPTL0037,18V AH Battery for Cyklop Strapping Tool
PT0002,18W Panel Light - Warm White
PT0012,2'' - 1'' Adaptor
PA0008,2 1/2'' Green Hose
PR0030,2'' Elbow  - Weldable
PR0031,2 Feet Cable Tie- Heavy Duty Black
SPGS0063,2 Gang Switch - Normal
PR0029,2'' to 1.5'' Reducer  - Weldable
PF0011,2.5 inch Fire Hose Nozzle Aluminium -Jet
PF0010,2.5 inch Fire Hose with Coupling 15m (Canvas)
SPVC0087,"2/2 way valve DN12, G1/2 24V DC, 16W"
SPVC0089,"2/2-way coaxial valve electromagnetic directly operated, model FK 20 NC St"
SPVC0111,2/2-way coaxial valve type MK 10 NC
SPVC0112,2/2-way seated valve for pressure testing Equipment
STPV0396,"2000kVA 11kV 3.3kV Transformer with LV box, MV plugin type bushings, ISD, OTI & WTI with MODBUS"
STPV0840,2000kVA 11kV 415V Transformer STD EU with HV Plug-in and LV Cable Box
STPV0382,2000kVA 3.3kV 415V 3Ø 50Hz ONAN Yd1 Step Up Transformer
STPV0685,2000kVA 3.3kV 440V Conservator Type Transformer with RTD WTI & RTD OTI Units
STCB0134,2000kVA 33kV 11kV Power Transformer
STPV0411,2000kVA 33kV 3.3kV Outdoor Transformer
