Item code,Description,Price
CUFX0718,Flexible Braided Connector for 1250/33/400 EU Assembly - AL Winding
INSI0006-D,Strip Insulation 0.075X45mm
SPGS0027,Plug base   5A
AAAS0319,Assembly Packet for 2500/33/440 Assembly
STSR0601-1,Steel Stay Rod 1 for 1250/33/415 EU Loss Design
SPCC0121,Teplon Gear Wheel
AATK1976,Assembly Packet for 2000/33/415 with plug-in type bushing Tanking
CUAS0576,Copper Lead Set for 1000/33/415 Assembly CT2013
SPCC0188,Digital output module 6ES7422-1BL00-0AA0
ACOT0191,Breather Flange for 5000kVA/33kV/11kV CT1911
MCOT0129,Repair Order Form Book (100-Pages)
MCST0030,File Fastener
ACRP0042,Property Plate CT1913
INHV0128,Insulation Packet for 50/33/415 HV
WTBC0571,Core building of Winding Temperature Direct Measuring Transformer
STLT0742,Steel Lifting Traverse for 1250/33/800  EU Loss Design - AL Winding
AATK0012,Assembly Packet for 630/11/415 Standard O/D Tanking
ACBU0020,HV Bushing Outdoor 30kV 250A DIN CD 950
MCST0017,Correction Tape
INHV0134,Insulation Packet for 2000/33/11 HV
CNTL0063,Drill Bit 28mm
INHV1102,Insulation Packet HV for 160/11/415 EU Loss Design
PI0012,DTS-2RM AL1 Data technology support f.2 connection modules
STTR0612,Steel Tie Rod for 1000/33/800 EU Loss Design
TMCC0027,Timber Cross Cut 40x70x786mm
STPV0411,2000kVA 33kV 3.3kV Outdoor Transformer
SPVC0056,O Ring 230x05 FPM70 Viton/Black
WTTK0017,Tanking Standard I/D 250/11/415
SPTL0044,Phase Asymmetry Relay (Phase Lose Sensor with Protection) for ERKO Lug Punching tool
WTGF0021,"Powder Painted Tank & Cover after Fabricating, Tank Welding & Gavanizing Standard I/D 1000/11/415"
INES0011-T,DDP Edge Strip 0.25x18mm
MCOT0136,Stop Watch
CNDP0094,Cable 4 Core 70mm2 CU/XLPE/PVC 0.6/1kV
WTLW0493,LV Rectangular Winding 1500/33/11
WTLF0021,LV Winding Standard I/D 1000/11/415
AADP0396,Assembly Packet for 2000/11/3.3 Dispatch
ACGK0620-T,ACM Flange Gasket Cut to Size 8mm for 75/33/400 for CT2020
AAAS0202,Assembly Packet for 5/11 Assembly
STTC0604,Steel Top Channels for 2500/33/415 EU Loss Design
AADP0459,Assembly Packet for 2600/33/690 Dispatch
PL0014,Cable 3 Core 30/0.25 1.5mm2
WTHC0572,HV Winding of 2000kVA 33kV 400V 3� 50Hz ONAN Outdoor Transformer with ISD Unit  for Solar Project
CNTL0022,Drill Bit 6mm
TMCM0171,Winding Support Insulation - Top for CT1935 &CT1950
STCH0512,Steel Channels for 1000/33/415 New Design Ph1
INAS0003,Insulation Packet for 250/33/415 Assembly
STPV0026,160kVA 33kV 400V Auxiliary Transformer with LV Cable Box
AAAS0620,Assembly Packet for Multi Step Oval 75/33/400 Mozambique
