Selected?,Item code,Tag,Description,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
no,ACIN0164,Other items,ISD UNIT,100,100,100,100,100
no,ACIN0165,Other items,BREATHER 1KG TYPE A,100,100,100,100,100
no,ACIN0166,Other items,BREATHER 1KG TYPE B,100,100,100,100,100
no,ACIN0167,Other items,BREATHER 1KG TYPE C,100,100,100,100,100
no,ACIN0168,Other items,BREATHER 2KG,100,100,100,100,100
no,ACIN0169,Other items,THERMOMETER TEK 16,100,100,100,100,100
no,ACIN0170,Other items,"THERMOWELL 3/4"" BSP",100,100,100,100,100
no,ACIN0171,Other items,THERMOMETER POCKET,100,100,100,100,100
no,ACIN0172,Other items,GALVANIZED CUP FOR THERMOMETER POCKET,100,100,100,100,100
no,ACIN0173,Other items,BUCHOLZ RELAY EW712,100,100,100,100,100
no,ACIN0174,Other items,"CONSERVATOR FILLING CAP AL. 2""",100,100,100,100,100
no,ACIN0175,Other items,T/F WHEEL 7613T00691,100,100,100,100,100
no,ACIN0176,Other items,T/F WHEEL 7613T00691,100,100,100,100,100
no,ACIN0177,Other items,OIL TEMP. INDICATOR TD50 (354 01 12X6.0),100,100,100,100,100
no,ACIN0178,Other items,WINDING TEMP. INDICATOR TD76 (354 01 12X6.0),100,100,100,100,100
no,ACIN0179,Other items,RTD WTI (PT100),100,100,100,100,100
no,ACIN0180,Other items,RTD OTI (PT100),100,100,100,100,100
no,ACIN0181,Other items,CT 3000/2A Oil Immersed (Measuring) Ring Type 15VA/0.5,100,100,100,100,100
no,ACIN0182,Other items,CT 5000/5A Oil Immersed (Measuring) Ring Type 15VA/0.5,100,100,100,100,100
no,ACIN0183,Other items,CT 1600/1A 5P20 15VA/0.5 2 Core,100,100,100,100,100
no,ACIN0184,Other items,NCT 400/1A 5P20 15VA,100,100,100,100,100
no,ACIN0185,Other items,NCT 1600/1A 5P20 15VA,100,100,100,100,100
no,ACIN0186,Other items,NCT 2000/1A 5P20 15VA,100,100,100,100,100
no,ACIN0187,Other items,CT TERMINAL BOX (2 TERMINALS),100,100,100,100,100
no,ACIN0188,Other items,CT TERMINAL BOX (4 TERMINALS),100,100,100,100,100
no,ACIN0189,Other items,CT TERMINAL BOX (6 TERMINALS),100,100,100,100,100
no,ACIN0190,Other items,24kV ELBOW CONNECTOR SET (03),100,100,100,100,100
no,ACIN0191,Other items,36kV ELBOW CONNECTOR SET (03),100,100,100,100,100
no,ACIN0192,Other items,52kV ELBOW CONNECTOR SET (04),100,100,100,100,100
no,ACIN0193,Other items,OBO SURGE ARRESTERS,100,100,100,100,100
no,ACIN0194,Other items,LTL Name Board,100,100,100,100,100
no,ACIN0195,Other items,"Nut, Bolt & 2 Washers (Galvanized) M10 x 40 mm",100,100,100,100,100
no,ACIN0196,Other items,Split washers for tank cover fixing,100,100,100,100,100
no,ACIN0197,Other items,"M12 bolt, nut, spring washer & lock washer for earthing terminal",100,100,100,100,100
no,ACIN0198,Other items,Flange Gasket,100,100,100,100,100
no,ACIN0199,Other items,Wooden Pallete For Packing,100,100,100,100,100
no,ACIN0200,Other items,Surge Arresters,100,100,100,100,100
no,ACIN0201,Finishing,Painting,100,100,100,100,100
no,ACIN0202,Finishing,GALVANIZING,100,100,100,100,100
no,ACIN0203,Finishing,PRIMER PAINT & THINNER,100,100,100,100,100
no,ACIN0204,Finishing,POWDER PAINT (RAL6028) Marine Grade,100,100,100,100,100
no,ACIN0205,Finishing,INTERNAL PAINT,100,100,100,100,100
