Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,Copper Flexible,97 - Copper Flexible,250/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,400/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,630/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,800/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1000/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1250/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1600/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2000/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2500/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,3150/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,4000/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,5000/33/400 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,100/33/415 Ph2,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,160/33/415 Ph2,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,250/33/415 Ph2,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,400/33/415 Ph2,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,630/33/415 Ph2,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,800/33/415 Ph2,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1000/33/415 Ph2,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1000/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1250/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1600/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2000/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2500/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,3150/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,4000/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,5000/33/415 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1000/33/690 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1250/33/690 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1600/33/690 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2000/33/690 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2500/33/690 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,3150/33/690 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,4000/33/690 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1000/33/800 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1250/33/800 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,1600/33/800 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2000/33/800 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,2500/33/800 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,3150/33/800 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,4000/33/800 EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,5000/33/800 EU,1,,,,,
,,no,,98 - Timber Packet,50/33/400,1,,,,,
,,no,,98 - Timber Packet,100/33/400  EU,1,,,,,
,,no,,98 - Timber Packet,160/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,250/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,400/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,630/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,800/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,1000/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,1250/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,1600/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,2000/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,2500/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,3150/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,4000/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,5000/33/400 EU,1,,,,,
,,no,,98 - Timber Packet,100/33/415 Ph2,1,,,,,
,,no,,98 - Timber Packet,160/33/415 Ph2,1,,,,,
,,no,,98 - Timber Packet,250/33/415 Ph2,1,,,,,
,,no,,98 - Timber Packet,400/33/415 Ph2,1,,,,,
,,no,,98 - Timber Packet,630/33/415 Ph2,1,,,,,
,,no,,98 - Timber Packet,800/33/415 Ph2,1,,,,,
,,no,,98 - Timber Packet,1000/33/415 Ph2,1,,,,,
,,no,,98 - Timber Packet,1000/33/415 EU,1,,,,,
,,no,,98 - Timber Packet,1250/33/415 EU,1,,,,,
,,no,,98 - Timber Packet,1600/33/415 EU,1,,,,,
,,no,,98 - Timber Packet,2000/33/415 EU,1,,,,,
